age,sex,adj1,adj2,adj3,adj4,adj5,celeb1_name,celeb2_name,celeb3_name,celeb4_name,celeb5_name
28,female,soft,gentle,sweet,mellow,calm,Amanda Seyfried,Kelly Macdonald,Kiernan Shipka,Shiri Appleby,Zooey Deschanel
37,female,soft,gentle,melodic,clear,calm,Amanda Seyfried,Kelly Macdonald,Katherine Jenkins,Shiri Appleby,Kate Voegele
62,male,gravelly,deep,resonant,rough,powerful,Brian Blessed,James Earl Jones,John Hurt,David Warner,Ron Perlman
28,female,high-pitched,bright,bubbly,energetic,youthful,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Bethany Mota
71,male,raspy,thin,wheezy,weak,elderly,John Amos,Bill Nighy,Christopher Mintz-Plasse,Walter Matthau,Tom Arnold
55,female,crisp,sharp,authoritative,strong,direct,Glenn Close,Margo Martindale,Meryl Streep,Viola Davis,Sigourney Weaver
35,male,raspy,gravelly,deep,rough,intense,Willem Dafoe,Brian Blessed,Ron Perlman,Tom Waits,Gary Busey
28,male,soft,gentle,mellow,clear,pleasant,Aaron Yoo,Max Schneider,Keegan Allen,Ryan Potter,Charlie Hunnam
47,female,husky,low,sultry,smooth,sexy,Katheryn Winnick,Jennifer Beals,Sanaa Lathan,Thandie Newton,Monica Bellucci
62,female,gravelly,raspy,low,mellow,smooth,Joan Chen,Miriam Margolyes,Glenn Close,Wanda Sykes,Laura Dern
37,male,high-pitched,nasal,bright,energetic,quirky,Seth Rogen,Jack Black,Will Forte,Chris Colfer,Neil Gaiman
71,male,deep,resonant,authoritative,calm,gravelly,James Earl Jones,Brian Blessed,John Goodman,Charles Dance,Alan Rickman
28,female,sweet,gentle,soft,clear,youthful,Amanda Seyfried,Lea Michele,Katherine Heigl,Abigail Breslin,Lily Cole
55,male,gruff,strong,hoarse,powerful,booming,Willem Dafoe,Gary Busey,Ron Perlman,Bruce Boxleitner,Ray Winstone
67,female,gravelly,raspy,low,husky,warm,Phyllis Diller,Joan Chen,Miriam Margolyes,Leslie Mann,Meryl Streep
33,male,smooth,deep,resonant,calm,clear,Henry Cavill,Hugh Bonneville,Theo James,Sam Worthington,James Earl Jones
51,female,bright,high-pitched,clear,energetic,bubbly,Amanda Seyfried,Jenna Fischer,Kristen Bell,Kelli Berglund,Rachel McAdams
72,male,thin,high,reedy,weak,tremulous,John Cleese,Bill Nighy,Peter Jackson,Tom Kenny,John Hurt
28,female,soft,gentle,sweet,whispery,mellow,Shiri Appleby,Keeley Hawes,Lily Cole,Kiernan Shipka,Abigail Breslin
62,female,gravelly,raspy,low,warm,mellow,Miriam Margolyes,Joan Chen,Glenn Close,Wanda Sykes,Lesley Manville
37,male,smooth,resonant,deep,clear,calm,Henry Cavill,Hugh Bonneville,Theo James,Sam Worthington,Richard Madden
71,male,high-pitched,nasal,thin,reedy,quirky,Steve Martin,John Oliver,Tim Minchin,Tom Kenny,Patton Oswalt
28,female,bright,clear,sweet,youthful,energetic,Abigail Breslin,Kiernan Shipka,Dove Cameron,Kelli Berglund,Raini Rodriguez
51,male,gruff,strong,booming,powerful,authoritative,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Charles Dance
62,female,gravelly,raspy,low,warm,hoarse,Joan Chen,Miriam Margolyes,Phyllis Diller,Wanda Sykes,Meryl Streep
37,male,smooth,deep,resonant,calm,clear,Henry Cavill,Hugh Bonneville,Theo James,Sam Worthington,Damian Lewis
71,female,high-pitched,bright,chirpy,sweet,quick,Jennifer Saunders,Jenna Fischer,Sarah Drew,Molly Shannon,America Ferrera
28,male,nasal,thin,reedy,high,whiny,Seth Rogen,Jack Black,Paul Gross,Neil Gaiman,Bill Nighy
55,female,strong,authoritative,clear,confident,powerful,Taraji P. Henson,Alfre Woodard,Glenn Close,Sanaa Lathan,Viola Davis
67,female,raspy,gravelly,low,husky,warm,Joan Chen,Miriam Margolyes,Wanda Sykes,Glenn Close,Susan Lucci
35,male,smooth,calm,clear,resonant,gentle,Hugh Bonneville,Sam Heughan,Theo James,Richard Madden,Sebastian De Souza
72,male,booming,powerful,strong,deep,gravelly,Brian Blessed,James Earl Jones,John Amos,Ron Perlman,Charles Dance
28,female,bright,high-pitched,sweet,clear,youthful,Abigail Breslin,Kiernan Shipka,Dove Cameron,Kelli Berglund,Raini Rodriguez
51,female,crisp,sharp,clear,precise,authoritative,Constance Zimmer,Leslie Mann,Kelly Macdonald,Olivia Colman,Sarah Paulson
62,female,raspy,gravelly,low,warm,mellow,Joan Chen,Miriam Margolyes,Glenn Close,Margo Martindale,Leslie Mann
37,male,high-pitched,bright,energetic,quick,nasal,Tim Minchin,Seth Rogen,Jack Black,Will Ferrell,Chris Colfer
71,male,deep,resonant,smooth,authoritative,calm,James Earl Jones,Brian Blessed,John Amos,James Cromwell,Charles Dance
28,female,sweet,soft,gentle,clear,bright,Amanda Seyfried,Kelly Macdonald,Katherine Heigl,Shiri Appleby,Rachel McAdams
49,male,gruff,gravelly,rough,strong,deep,Willem Dafoe,Harvey Keitel,Ron Perlman,Bruce Boxleitner,Ray Winstone
37,female,soft,gentle,clear,calm,sweet,Amanda Seyfried,Kelly Macdonald,Katheryn Winnick,Shiri Appleby,Caitriona Balfe
62,male,gravelly,deep,resonant,rough,strong,Brian Blessed,Willem Dafoe,John Hurt,James Earl Jones,Harvey Keitel
28,female,bright,energetic,lively,cheerful,bubbly,Witney Carson,Kelli Berglund,Bethany Mota,Raini Rodriguez,Teala Dunn
71,male,raspy,low,hoarse,gruff,weathered,John Amos,Don Rickles,Burt Reynolds,John Goodman,Fred Williamson
37,female,soft,gentle,sweet,calm,clear,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Jenna Fischer,Kirsten Vangsness
72,male,gravelly,raspy,deep,resonant,strong,Brian Blessed,James Earl Jones,John Hurt,Harvey Keitel,Ron Perlman
55,female,crisp,bright,energetic,sharp,clear,Janice Dickinson,Katheryn Winnick,Leslie Mann,Wendi McLendon-Covey,Retta
28,male,high-pitched,nasal,thin,reedy,quirky,Neil Gaiman,Patton Oswalt,Seth Rogen,Jack Black,John Mulaney
61,female,husky,warm,smooth,mature,mellow,Glenn Close,Margo Martindale,Jean Smart,Alfre Woodard,Milla Jovovich
62,female,gravelly,raspy,low,resonant,warm,Joan Chen,Miriam Margolyes,Margo Martindale,Glenn Close,Wanda Sykes
37,male,smooth,calm,gentle,clear,even,Hugh Bonneville,Colin Donnell,Theo James,Sam Heughan,Tom Hiddleston
71,male,high-pitched,thin,reedy,quirky,nasal,John Oliver,Tim Minchin,Peter Jackson,Steve Martin,Michael C. Hall
28,female,bright,clear,sweet,youthful,energetic,Amanda Seyfried,Kelli Berglund,Abigail Breslin,Kiernan Shipka,Dove Cameron
49,male,deep,gruff,powerful,authoritative,booming,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Charles Dance
37,female,soft,gentle,mellow,calm,soothing,Kelly Macdonald,Amanda Seyfried,Morena Baccarin,Katheryn Winnick,Shiri Appleby
62,male,gravelly,deep,resonant,raspy,powerful,Brian Blessed,John Hurt,James Earl Jones,David Warner,Ron Perlman
71,female,sharp,crisp,clear,bright,energetic,Phyllis Diller,Joan Chen,Miriam Margolyes,Glenn Close,Janice Dickinson
28,male,high-pitched,nasal,thin,bright,quirky,Seann William Scott,Jack Black,Tim Minchin,Seth Rogen,Neil Gaiman
49,female,husky,low,rich,smooth,sultry,Taraji P. Henson,Sanaa Lathan,Viola Davis,Jennifer Beals,Wendi McLendon-Covey
37,female,soft,gentle,clear,calm,melodic,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Katheryn Winnick,Kiernan Shipka
62,male,gravelly,raspy,deep,resonant,powerful,Brian Blessed,Willem Dafoe,James Earl Jones,John Hurt,Ron Perlman
71,female,sharp,witty,crisp,dry,acerbic,Phyllis Diller,Miriam Margolyes,Jennifer Saunders,Joan Chen,Wanda Sykes
28,male,high-pitched,nasal,thin,bright,nervous,Max Schneider,Neil Gaiman,Chris Colfer,Seth Rogen,Jack Black
55,female,husky,smoky,low,rich,sultry,Taraji P. Henson,Sanaa Lathan,Debi Mazar,Morena Baccarin,Cote de Pablo
71,male,deep,raspy,gruff,powerful,authoritative,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Willem Dafoe
62,female,gravelly,raspy,low,smoky,warm,Joan Chen,Miriam Margolyes,Glenn Close,Margo Martindale,Kathy Griffin
35,male,bright,energetic,clear,cheerful,resonant,Chris Colfer,Neil Gaiman,Ryan McPartlin,Aaron Tveit,Max Schneider
71,male,deep,gruff,powerful,resonant,booming,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,James Cosmo
28,female,sweet,gentle,soft,melodic,clear,Amanda Seyfried,Kelly Macdonald,Katherine Heigl,Lea Michele,Abigail Breslin
47,female,crisp,sharp,clear,precise,authoritative,Leslie Mann,Kristen Johnston,Constance Zimmer,Wendi McLendon-Covey,Retta
62,female,gravelly,raspy,low,smoky,warm,Joan Chen,Miriam Margolyes,Glenn Close,Wanda Sykes,Lesley Manville
38,male,high-pitched,bright,clear,energetic,youthful,Chris Colfer,Max Schneider,Aaron Yoo,Drake Bell,Zachary Gordon
71,male,deep,resonant,authoritative,powerful,calm,James Earl Jones,Brian Blessed,John Amos,Charles Dance,James Cromwell
28,female,soft,gentle,sweet,clear,mellow,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Cierra Ramirez,Katherine Heigl
55,female,sharp,crisp,witty,quick,bright,Kristen Johnston,Wendi McLendon-Covey,Amy Schumer,Lucy Punch,Molly Shannon
62,female,gravelly,raspy,low,warm,hoarse,Janice Dickinson,Miriam Margolyes,Joan Chen,Glenn Close,Wanda Sykes
37,male,smooth,resonant,deep,clear,calm,Henry Cavill,Hugh Bonneville,Theo James,Sam Heughan,Idris Elba
71,male,high-pitched,quirky,twangy,nasal,energetic,Tim Minchin,John Oliver,Bill Nighy,Steve Martin,Tom Kenny
49,male,gruff,strong,rumbling,powerful,booming,Brian Blessed,James Earl Jones,Ron Perlman,John Goodman,Bruce Boxleitner
37,female,smooth,low,resonant,calm,clear,Morena Baccarin,Kelly Macdonald,Katheryn Winnick,Olivia Colman,Sanaa Lathan
62,male,gravelly,deep,raspy,gruff,powerful,Brian Blessed,Willem Dafoe,John Hurt,James Earl Jones,Ron Perlman
71,female,high-pitched,bright,chirpy,quick,energetic,Phyllis Diller,Rue McClanahan,Lily Cole,Kristen Johnston,Wendi McLendon-Covey
28,male,soft,gentle,mellow,quiet,unassuming,Aaron Yoo,Max Schneider,Keegan Allen,Chris Colfer,Asa Butterfield
49,female,crisp,sharp,clear,strong,authoritative,Glenn Close,Constance Zimmer,Marcia Cross,Leslie Mann,Taraji P. Henson
67,female,gravelly,raspy,low,resonant,warm,Glenn Close,Milla Jovovich,Leslie Mann,Marcia Gay Harden,Anjelica Huston
38,male,smooth,deep,calm,measured,clear,Hugh Bonneville,James Earl Jones,Henry Cavill,Idris Elba,Sam Worthington
72,male,gruff,strong,booming,powerful,rumbling,Brian Blessed,John Goodman,James Earl Jones,Ron Perlman,Willem Dafoe
37,female,soft,gentle,calm,clear,resonant,Kelly Macdonald,Amanda Seyfried,Morena Baccarin,Katheryn Winnick,Shiri Appleby
62,male,gravelly,deep,raspy,powerful,gruff,Brian Blessed,Willem Dafoe,James Earl Jones,John Hurt,Harvey Keitel
28,female,bright,cheerful,bubbly,lively,energetic,Jenna Fischer,Witney Carson,Abigail Breslin,Kelli Berglund,Bethany Mota
71,male,thin,high-pitched,reedy,quavering,weak,Tom Kenny,Patton Oswalt,David Koechner,Will Forte,John Mulaney
37,male,high-pitched,nasal,thin,reedy,bright,Neil Gaiman,Seth Rogen,Mark Feuerstein,Jason Segel,Jack Black
71,female,raspy,husky,powerful,dramatic,deep,Joan Chen,Susan Lucci,Tilda Swinton,Meryl Streep,Kathy Griffin
28,male,soft,gentle,calm,clear,pleasant,Colin Donnell,Aaron Tveit,Theo James,Max Schneider,Skylar Astin
55,female,breathy,sweet,high,lilting,bright,Amanda Seyfried,Zooey Deschanel,Olivia Munn,Kristen Bell,Katherine Heigl
62,female,gravelly,raspy,low,warm,hoarse,Phyllis Diller,Joan Chen,Miriam Margolyes,Marcia Cross,Kathleen Turner
35,male,smooth,resonant,deep,calm,clear,Henry Cavill,Hugh Bonneville,Sam Heughan,Theo James,James Earl Jones
71,female,high-pitched,bright,thin,sweet,chirpy,Carrie Ann Inaba,Miley Cyrus,Jenna Fischer,Witney Carson,Lea Michele
48,male,nasal,whiny,high,thin,reedy,Seann William Scott,Jack Black,John Oliver,Neil Gaiman,Patton Oswalt
28,female,soft,gentle,melodic,clear,sweet,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Katherine Heigl,Sarah Drew
62,female,gravelly,raspy,low,husky,warm,Meryl Streep,Glenn Close,Joan Chen,Janice Dickinson,Margo Martindale
37,male,smooth,resonant,deep,calm,clear,Henry Cavill,Hugh Bonneville,Theo James,Sam Heughan,Richard Madden
71,female,high-pitched,bright,chirpy,energetic,youthful,Kristen Johnston,Lily Cole,America Ferrera,Abigail Breslin,Kelli Berglund
28,male,nasal,thin,high,reedy,nervous,Jack Black,Seth Rogen,Paul Gross,John Oliver,Bill Nighy
55,female,soft,gentle,melodic,sweet,clear,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Jenna Fischer,Caitriona Balfe
37,female,soft,gentle,mellow,calm,soothing,Amanda Seyfried,Kelly Macdonald,Morena Baccarin,Katheryn Winnick,Shiri Appleby
72,male,gravelly,raspy,deep,resonant,powerful,Brian Blessed,James Earl Jones,John Hurt,Willem Dafoe,Jon Pertwee
51,female,sharp,crisp,clear,precise,authoritative,Janice Dickinson,Milla Jovovich,Glenn Close,Constance Zimmer,Kristin Wiig
28,male,high-pitched,bright,cheerful,energetic,youthful,Chris Colfer,Darren Criss,Max Schneider,Neil Gaiman,Seann William Scott
63,female,breathy,husky,low,sultry,smokey,Leslie Mann,Jennifer Saunders,Debi Mazar,Joan Chen,Taraji P. Henson
37,female,soft,gentle,sweet,calm,clear,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Katheryn Winnick,Jenna Fischer
62,male,gravelly,deep,resonant,raspy,strong,Brian Blessed,Willem Dafoe,John Hurt,James Earl Jones,Ron Perlman
71,female,sharp,crisp,authoritative,dry,witty,Phyllis Diller,Miriam Margolyes,Joan Chen,Jennifer Saunders,Marcia Cross
28,male,high-pitched,bright,energetic,nasal,youthful,Seann William Scott,Max Schneider,Chris Colfer,Darren Criss,Drake Bell
49,female,husky,low,smooth,sultry,mellow,Morena Baccarin,Sanaa Lathan,Taraji P. Henson,Viola Davis,Cote de Pablo
37,female,soft,gentle,melodic,clear,calm,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Katheryn Winnick,Kiernan Shipka
62,male,gravelly,deep,resonant,raspy,strong,Brian Blessed,Willem Dafoe,James Earl Jones,John Hurt,Ron Perlman
71,female,sharp,crisp,high-pitched,bright,energetic,Phyllis Diller,Janice Dickinson,Joan Chen,Miriam Margolyes,Wendi McLendon-Covey
28,male,smooth,gentle,warm,friendly,low,Josh Henderson,Henry Cavill,Seann William Scott,Ryan Phillippe,Chace Crawford
55,female,husky,rich,sultry,low,smooth,Morena Baccarin,Sanaa Lathan,Taraji P. Henson,Thandie Newton,Jennifer Beals
62,female,raspy,gravelly,low,hoarse,strong,Glenn Close,Miriam Margolyes,Joan Chen,Janice Dickinson,Meryl Streep
37,male,smooth,calm,resonant,deep,clear,Henry Cavill,Hugh Bonneville,Sam Heughan,Theo James,James Earl Jones
71,female,high-pitched,bright,chirpy,sweet,thin,Julie Gonzalo,Lily Cole,America Ferrera,Abigail Breslin,Kiernan Shipka
28,male,nasal,thin,reedy,high,weak,Seann William Scott,Jason Dohring,Jack Black,Chris Colfer,Aaron Yoo
51,female,husky,warm,rich,mellow,smooth,Sanaa Lathan,Taraji P. Henson,Alfre Woodard,Thandie Newton,Regina Hall
37,female,soft,gentle,clear,calm,pleasant,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Katheryn Winnick,Kelli Berglund
62,male,gravelly,deep,resonant,raspy,powerful,Brian Blessed,James Earl Jones,John Hurt,Ron Perlman,Harvey Keitel
28,female,bright,energetic,cheerful,bubbly,youthful,Witney Carson,Abigail Breslin,Kiernan Shipka,Teala Dunn,Raini Rodriguez
71,male,thin,high-pitched,reedy,quavery,weak,John Cleese,Stephen Fry,Tom Kenny,Tim Minchin,Bill Nighy
55,female,husky,smoky,low,rich,sultry,Janice Dickinson,Debi Mazar,Leslie Mann,Mira Furlan,Margo Martindale
37,female,soft,gentle,mellow,calm,soothing,Kelly Macdonald,Amanda Seyfried,Morena Baccarin,Shiri Appleby,Katheryn Winnick
62,male,gravelly,deep,resonant,rough,powerful,Brian Blessed,James Earl Jones,John Hurt,Willem Dafoe,Ron Perlman
28,female,bright,clear,energetic,cheerful,bubbly,Abigail Breslin,Kelli Berglund,Raini Rodriguez,Kiernan Shipka,Dove Cameron
71,male,thin,high-pitched,reedy,slightly,quavering,Peter Facinelli,Michael C. Hall,Jeremy Piven,Mark Harmon,Ryan McPartlin
62,female,smooth,warm,resonant,calm,gentle,Alfre Woodard,Kelly Macdonald,Morena Baccarin,Leslie Mann,Amanda Seyfried
37,male,gravelly,raspy,deep,gruff,powerful,Brian Blessed,Willem Dafoe,John Hurt,Ron Perlman,James Earl Jones
28,female,bright,clear,cheerful,lively,bubbly,Jenna Fischer,Witney Carson,Abigail Breslin,Kelli Berglund,Raini Rodriguez
71,male,thin,high-pitched,reedy,quirky,nervous,Tim Minchin,Michael C. Hall,Patton Oswalt,John Oliver,Jack Black
55,female,sharp,crisp,authoritative,strong,direct,Janice Dickinson,Katheryn Winnick,Glenn Close,Milla Jovovich,Marcia Gay Harden
37,female,soft,gentle,calm,mellow,sweet,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Jenna Fischer,Poppy Montgomery
62,male,gravelly,resonant,deep,raspy,powerful,Brian Blessed,James Earl Jones,John Hurt,Ron Perlman,Willem Dafoe
28,female,bright,clear,energetic,lively,cheerful,Witney Carson,Kelli Berglund,Abigail Breslin,Kiernan Shipka,Raini Rodriguez
71,male,thin,high-pitched,quirky,nervous,slightly-trembling,Michael C. Hall,Tim Minchin,John Oliver,Patton Oswalt,Neil Gaiman
55,female,sharp,crisp,authoritative,strong,confident,Janice Dickinson,Glenn Close,Margo Martindale,Katheryn Winnick,Viola Davis
62,female,gravelly,raspy,low,husky,warm,Joan Chen,Miriam Margolyes,Wanda Sykes,Glenn Close,Lesley Manville
37,male,smooth,resonant,deep,calm,clear,Henry Cavill,Hugh Bonneville,Sam Heughan,Theo James,Richard Madden
28,female,bright,clear,high-pitched,sweet,bubbly,Abigail Breslin,Kiernan Shipka,Lea Michele,Dove Cameron,Kelli Berglund
71,male,gruff,strong,booming,powerful,rumbling,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Fred Williamson
49,female,soft,gentle,whispery,mellow,soothing,Kelly Macdonald,Amanda Seyfried,Poppy Montgomery,Jenna Fischer,Shiri Appleby
62,male,gravelly,deep,resonant,powerful,authoritative,Brian Blessed,James Earl Jones,John Hurt,Ron Perlman,David Warner
71,female,crisp,clear,sharp,bright,energetic,Phyllis Diller,Joan Chen,Miriam Margolyes,Katherine Jenkins,Meryl Streep
28,male,high-pitched,nasal,thin,reedy,nervous,Seann William Scott,Max Schneider,Neil Gaiman,Jesse Eisenberg,Michael Cera
49,female,husky,smoky,raspy,low,sultry,Janice Dickinson,Katheryn Winnick,Mira Furlan,Leslie Mann,Wendi McLendon-Covey
62,female,gravelly,raspy,warm,low,resonant,Joan Chen,Miriam Margolyes,Glenn Close,Marcia Gay Harden,Tilda Swinton
35,male,smooth,calm,gentle,clear,polite,Hugh Bonneville,Theo James,Sam Heughan,Colin Donnell,Max Irons
71,male,high-pitched,thin,reedy,quirky,nervous,Steve Martin,John Oliver,Bill Nighy,Tim Minchin,Patton Oswalt
47,male,deep,gruff,powerful,authoritative,booming,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Charles Dance
62,female,gravelly,husky,raspy,low,warm,Meryl Streep,Joan Chen,Glenn Close,Margo Martindale,Leslie Mann
37,male,smooth,resonant,deep,calm,clear,Henry Cavill,Sam Heughan,Theo James,Richard Madden,Hugh Bonneville
71,female,high-pitched,bright,crisp,thin,energetic,Phyllis Diller,Lily Cole,Carrie Fisher,Rue McClanahan,Jennifer Saunders
28,male,nasally,whiny,high,thin,reedy,Seth Rogen,Jack Black,Will Forte,Patton Oswalt,Chris Colfer
49,female,soft,gentle,sweet,mellow,calm,Amanda Seyfried,Kelly Macdonald,Saoirse Ronan,Shiri Appleby,Rachel McAdams
62,female,raspy,gravelly,low,warm,resonant,Joan Chen,Miriam Margolyes,Glenn Close,Meryl Streep,Margo Martindale
38,male,smooth,calm,gentle,clear,articulate,Henry Cavill,Theo James,Hugh Bonneville,Sam Worthington,Ryan Phillippe
71,female,high-pitched,bright,chirpy,quick,energetic,Kristen Johnston,Amy Schumer,Jenny Slate,Wendi McLendon-Covey,Molly Shannon
28,male,deep,gruff,strong,powerful,rumbling,Brian Blessed,James Earl Jones,Ron Perlman,Willem Dafoe,Charles Dance
55,female,thin,breathy,soft,sweet,delicate,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Katheryn Winnick,Kirsten Vangsness
37,female,soft,gentle,sweet,mellow,clear,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Katheryn Winnick,Jenna Fischer
62,male,gravelly,deep,resonant,raspy,strong,Brian Blessed,James Earl Jones,John Hurt,Willem Dafoe,Ron Perlman
28,female,bright,energetic,bubbly,youthful,lively,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
71,male,thin,high-pitched,reedy,quavery,weak,Tom Kenny,Patton Oswalt,Jack Black,Seth Rogen,John Mulaney
34,male,smooth,calm,clear,resonant,gentle,Henry Cavill,Theo James,Sam Heughan,Richard Madden,Hugh Bonneville
48,female,bright,high-pitched,clear,cheerful,bubbly,America Ferrera,Jenna Fischer,Kristen Bell,Rachel McAdams,Zooey Deschanel
72,male,deep,rumbling,gravelly,powerful,authoritative,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Charles Dance
28,female,soft,sweet,gentle,whispery,delicate,Amanda Seyfried,Shiri Appleby,Kiernan Shipka,Abigail Breslin,Saoirse Ronan
62,female,raspy,gravelly,low,warm,mellow,Joan Chen,Miriam Margolyes,Glenn Close,Linda Lavin,Marcia Gay Harden
35,male,high-pitched,nasal,thin,reedy,bright,Jason Segel,Seth Rogen,Jack Black,Will Forte,Patton Oswalt
71,male,deep,resonant,gravelly,powerful,authoritative,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Charles Dance
28,female,sweet,soft,gentle,clear,bright,Amanda Seyfried,Kelly Macdonald,Zooey Deschanel,Kiernan Shipka,Abigail Breslin
47,female,crisp,clear,bright,energetic,confident,Constance Zimmer,Leslie Mann,Retta,Wendi McLendon-Covey,Amy Schumer
62,female,Warm,Smooth,Gentle,Calm,Reassuring,Kelly Macdonald,Morena Baccarin,Amanda Seyfried,Katheryn Winnick,Olivia Colman
35,male,Deep,Gravelly,Husky,Resonant,Authoritative,Brian Blessed,Willem Dafoe,James Earl Jones,Ron Perlman,John Goodman
71,female,Sharp,High-pitched,Brittle,Cutting,Spirited,Phyllis Diller,Miriam Margolyes,Janice Dickinson,Jennifer Saunders,Joan Chen
28,male,Clear,Bright,Energetic,Cheerful,Upbeat,Max Schneider,Chris Colfer,Aaron Tveit,Darren Criss,Skylar Astin
47,female,Soft,Whispery,Delicate,Sweet,Timid,Shiri Appleby,Kiernan Shipka,Abigail Breslin,Saoirse Ronan,Miley Cyrus
62,female,raspy,gravelly,low,warm,mellow,Joan Chen,Miriam Margolyes,Glenn Close,Margo Martindale,Wanda Sykes
37,male,smooth,deep,resonant,clear,confident,Henry Cavill,Hugh Bonneville,Idris Elba,Damian Lewis,James Earl Jones
28,female,bright,high-pitched,sweet,bubbly,youthful,Abigail Breslin,Kiernan Shipka,Dove Cameron,America Ferrera,Kelli Berglund
71,male,gruff,raspy,strong,booming,powerful,Brian Blessed,John Hurt,James Earl Jones,Fred Williamson,Ron Perlman
45,female,crisp,clear,precise,authoritative,calm,Olivia Colman,Constance Zimmer,Sanaa Lathan,Leslie Mann,Taraji P. Henson
67,female,raspy,gravelly,low,mellow,warm,Miriam Margolyes,Phyllis Diller,Glenn Close,Jean Smart,Wanda Sykes
38,male,smooth,resonant,deep,calm,clear,Henry Cavill,Sam Heughan,Theo James,Richard Madden,Hugh Bonneville
28,female,bright,clear,high-pitched,cheerful,bubbly,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
72,male,gruff,strong,booming,authoritative,powerful,Brian Blessed,James Earl Jones,John Amos,Fred Williamson,Brian Dennehy
51,female,soft,gentle,sweet,calm,whispering,Kelly Macdonald,Amanda Seyfried,Saoirse Ronan,Shiri Appleby,Caitriona Balfe
37,male,high-pitched,bright,energetic,nasal,quick,Jason Segel,Jack Black,Seth Rogen,Will Forte,Jon Favreau
